country,year,variable,value,GEO_WB,GEO3
AD,1970,inyixx,.0420674048364162,,
AD,1971,inyixx,.0453680232167244,,
AD,1972,inyixx,.0492324382066727,,
AD,1973,inyixx,.0550662875175476,,
AD,1974,inyixx,.0638466626405716,,
AD,1975,inyixx,.0745612606406212,,
AD,1976,inyixx,.0868563577532768,,
AD,1977,inyixx,.107166051864624,,
AD,1978,inyixx,.1292755305767059,,
AD,1979,inyixx,.1511639803647995,,
AD,1980,inyixx,.1713516563177109,,
AD,1981,inyixx,.1925156116485596,,
AD,1982,inyixx,.2186637073755264,,
AD,1983,inyixx,.2446502596139908,,
AD,1984,inyixx,.2712308764457703,,
AD,1985,inyixx,.2945444583892822,,
AD,1986,inyixx,.3265874087810516,,
AD,1987,inyixx,.3460004031658173,,
AD,1988,inyixx,.3665394186973572,,
AD,1989,inyixx,.3918167054653168,,
AD,1990,inyixx,.420522153377533,,
AD,1991,inyixx,.4496859610080719,,
AD,1992,inyixx,.4798633456230164,,
AD,1993,inyixx,.5016359686851501,,
AD,1994,inyixx,.5210986733436584,,
AD,1995,inyixx,.5468050241470337,,
AD,1996,inyixx,.5618438124656677,,
AD,1997,inyixx,.574362576007843,,
AD,1998,inyixx,.5829755067825317,,
AD,1999,inyixx,.5989022254943848,,
AD,2000,inyixx,.6235871911048889,,
AD,2001,inyixx,.6427994966506958,,
AD,2002,inyixx,.6636232733726501,,
AD,2003,inyixx,.684709370136261,,
AD,2004,inyixx,.7055402994155884,,
AD,2005,inyixx,.729504406452179,,
AD,2006,inyixx,.7547219395637512,,
AD,2007,inyixx,.7789574861526489,,
AD,2008,inyixx,.7966753244400024,,
AD,2009,inyixx,.797726035118103,,
AD,2010,inyixx,.8007136583328247,,
AD,2011,inyixx,.8022905588150024,,
AD,2012,inyixx,.8036875128746033,,
AD,2013,inyixx,.807293713092804,,
AD,2014,inyixx,.8066169023513794,,
AD,2015,inyixx,.8119433522224426,,
AD,2016,inyixx,.8147687911987305,,
AD,2017,inyixx,.8240277767181396,,
AD,2018,inyixx,.8323702812194824,,
AD,2019,inyixx,.843815803527832,,
AD,2020,inyixx,.8532099723815918,,
AD,2021,inyixx,.8750419616699219,,
AD,2022,inyixx,.9121175408363342,,
AD,2023,inyixx,.9695408344268799,,
AD,2024,inyixx,1,,
AD,1970,mgdpro,996575003,,
AD,1971,mgdpro,1042937266,,
AD,1972,mgdpro,1127813832,,
AD,1973,mgdpro,1215672541,,
AD,1974,mgdpro,1283870156,,
AD,1975,mgdpro,1290763665,,
AD,1976,mgdpro,1333497729,,
AD,1977,mgdpro,1371611901,,
AD,1978,mgdpro,1391911443,,
AD,1979,mgdpro,1392569595,,
AD,1980,mgdpro,1423536876,,
AD,1981,mgdpro,1421716581,,
AD,1982,mgdpro,1439615303,,
AD,1983,mgdpro,1465006027,,
AD,1984,mgdpro,1491153283,,
AD,1985,mgdpro,1525687516,,
AD,1986,mgdpro,1574998607,,
AD,1987,mgdpro,1662256297,,
AD,1988,mgdpro,1746971645,,
AD,1989,mgdpro,1831327288,,
AD,1990,mgdpro,1900490872,,
AD,1991,mgdpro,1949012906,,
AD,1992,mgdpro,1967286015,,
AD,1993,mgdpro,1947235381,,
AD,1994,mgdpro,1993576885,,
AD,1995,mgdpro,2048511516,,
AD,1996,mgdpro,2105794237,,
AD,1997,mgdpro,2298690217,,
AD,1998,mgdpro,2372751328,,
AD,1999,mgdpro,2470468069,,
AD,2000,mgdpro,2499236232,,
AD,2001,mgdpro,2700649162,,
AD,2002,mgdpro,2823573156,,
AD,2003,mgdpro,3068562678,,
AD,2004,mgdpro,3318492500,,
AD,2005,mgdpro,3496114849,,
AD,2006,mgdpro,3661963582,,
AD,2007,mgdpro,3717618208,,
AD,2008,mgdpro,3510559051,,
AD,2009,mgdpro,3322030661,,
AD,2010,mgdpro,3253191804,,
AD,2011,mgdpro,3245699677,,
AD,2012,mgdpro,3090186216,,
AD,2013,mgdpro,2977516015,,
AD,2014,mgdpro,3049690780,,
AD,2015,mgdpro,3092394664,,
AD,2016,mgdpro,3210036503,,
AD,2017,mgdpro,3215910281,,
AD,2018,mgdpro,3267949826,,
AD,2019,mgdpro,3330579178,,
AD,2020,mgdpro,2953089291,,
AD,2021,mgdpro,3189690070,,
AD,2022,mgdpro,3477102261,,
AD,2023,mgdpro,3610554048,,
AD,2024,mgdpro,3731553792,,
AD,1970,mnninc,856852099,,
AD,1971,mnninc,888296507,,
AD,1972,mnninc,964295006,,
AD,1973,mnninc,1040130443,,
AD,1974,mnninc,1104984622,,
AD,1975,mnninc,1116280378,,
AD,1976,mnninc,1171090301,,
AD,1977,mnninc,1209437794,,
AD,1978,mnninc,1162801528,,
AD,1979,mnninc,1167142298,,
AD,1980,mnninc,1218995634,,
AD,1981,mnninc,1238561086,,
AD,1982,mnninc,1277530983,,
AD,1983,mnninc,1340743561,,
AD,1984,mnninc,1457007523,,
AD,1985,mnninc,1471710318,,
AD,1986,mnninc,1504897707,,
AD,1987,mnninc,1567150720,,
AD,1988,mnninc,1665860272,,
AD,1989,mnninc,1744856572,,
AD,1990,mnninc,1824622361,,
AD,1991,mnninc,1954898132,,
AD,1992,mnninc,2018849211,,
AD,1993,mnninc,2087983134,,
AD,1994,mnninc,2189241428,,
AD,1995,mnninc,2156019055,,
AD,1996,mnninc,2245061705,,
AD,1997,mnninc,2482427894,,
AD,1998,mnninc,2485317425,,
AD,1999,mnninc,2616371253,,
AD,2000,mnninc,2564217460,,
AD,2001,mnninc,2704488797,,
AD,2002,mnninc,2744636335,,
AD,2003,mnninc,2905252174,,
AD,2004,mnninc,3066855038,,
AD,2005,mnninc,3195399555,,
AD,2006,mnninc,3311342330,,
AD,2007,mnninc,3366572144,,
AD,2008,mnninc,3214961620,,
AD,2009,mnninc,3021903614,,
AD,2010,mnninc,2823083632,,
AD,2011,mnninc,2852753796,,
AD,2012,mnninc,2734813594,,
AD,2013,mnninc,2617547739,,
AD,2014,mnninc,2644387841,,
AD,2015,mnninc,2702135514,,
AD,2016,mnninc,2782187021,,
AD,2017,mnninc,2814795847,,
AD,2018,mnninc,2851739873,,
AD,2019,mnninc,3125335651,,
AD,2020,mnninc,2816247105,,
AD,2021,mnninc,2895361598,,
AD,2022,mnninc,3075773816,,
AD,2023,mnninc,3162773481,,
AD,2024,mnninc,3300810314,,
AD,1980,mpweal,3595596800,,
AD,1981,mpweal,3825964800,,
AD,1982,mpweal,4024575232,,
AD,1983,mpweal,4267576576,,
AD,1984,mpweal,4708085760,,
AD,1985,mpweal,4807540736,,
AD,1986,mpweal,5048068096,,
AD,1987,mpweal,5426112512,,
AD,1988,mpweal,5883309056,,
AD,1989,mpweal,6416211968,,
AD,1990,mpweal,6748139008,,
AD,1991,mpweal,7382269440,,
AD,1992,mpweal,7939445760,,
AD,1993,mpweal,8380821504,,
AD,1994,mpweal,8662145024,,
AD,1995,mpweal,8240645120,,
AD,1996,mpweal,8492466688,,
AD,1997,mpweal,9578244096,,
